,Price,MarketCap,TransactionCount,ActiveAddress,Asset,Date
93,0.1024,440949.76,330,731,BTC,2010-10-18
94,0.09715000000000001,419585.9925,668,1162,BTC,2010-10-19
95,0.099,428882.85000000003,449,944,BTC,2010-10-20
96,0.107,464535.14999999997,366,817,BTC,2010-10-21
97,0.106,461009.89999999997,448,823,BTC,2010-10-22
98,0.10499499999999999,457557.71050000004,342,669,BTC,2010-10-23
99,0.11501000000000001,502380.9315,347,665,BTC,2010-10-24
100,0.132,577935.6,207,563,BTC,2010-10-25
101,0.15030000000000002,659869.605,277,639,BTC,2010-10-26
102,0.1877,826067.7000000001,355,914,BTC,2010-10-27
103,0.1731,763708.545,267,805,BTC,2010-10-28
104,0.19,840389.0,244,654,BTC,2010-10-29
105,0.19890000000000002,882260.73,174,428,BTC,2010-10-30
106,0.1925,855595.125,128,403,BTC,2010-10-31
107,0.1955,870659.25,174,421,BTC,2010-11-01
108,0.1938,864793.74,110,288,BTC,2010-11-02
109,0.19310000000000002,863504.58,157,394,BTC,2010-11-03
110,0.23,1030825.5,141,423,BTC,2010-11-04
111,0.2639,1185649.9200000002,223,647,BTC,2010-11-05
112,0.38,1711406.0,176,414,BTC,2010-11-06
113,0.34,1535355.0,210,486,BTC,2010-11-07
114,0.243,1100668.5,240,1363,BTC,2010-11-08
115,0.21,953473.5,192,468,BTC,2010-11-09
116,0.23620000000000002,1074828.0999999999,194,469,BTC,2010-11-10
117,0.22310000000000002,1017659.495,176,396,BTC,2010-11-11
118,0.2682,1225647.18,117,299,BTC,2010-11-12
119,0.276,1264369.8,120,372,BTC,2010-11-13
120,0.27904,1281867.904,160,708,BTC,2010-11-14
121,0.2682,1234752.57,4671,4217,BTC,2010-11-15
122,0.225,1038082.5,8908,3189,BTC,2010-11-16
123,0.247366666666666,1144330.5683333334,188,459,BTC,2010-11-17
124,0.26780000000000004,1242297.42,1237,405,BTC,2010-11-18
125,0.2752,1278689.28,9482,497,BTC,2010-11-19
126,0.283955,1321015.4510000001,9615,668,BTC,2010-11-20
127,0.27675,1289433.6,9904,620,BTC,2010-11-21
128,0.2843,1326927.605,180,466,BTC,2010-11-22
129,0.28295000000000003,1322607.3325,201,525,BTC,2010-11-23
130,0.28299,1325298.7680000002,3759,801,BTC,2010-11-24
131,0.28,1313830.0000000002,4802,740,BTC,2010-11-25
132,0.2844,1337234.5799999998,1120,1018,BTC,2010-11-26
133,0.28300000000000003,1333198.85,265,661,BTC,2010-11-27
134,0.271081967213114,1279384.8983606545,282,538,BTC,2010-11-28
135,0.23305,1102326.5,245,710,BTC,2010-11-29
136,0.2082,986878.41,252,602,BTC,2010-11-30
137,0.2275,1080511.25,324,938,BTC,2010-12-01
138,0.255,1213519.5,272,641,BTC,2010-12-02
139,0.25105,1197094.2675,195,708,BTC,2010-12-03
140,0.20600000000000002,984638.7999999999,189,497,BTC,2010-12-04
141,0.195,934391.25,195,488,BTC,2010-12-05
142,0.20400000000000001,979975.2,224,507,BTC,2010-12-06
143,0.2366,1139406.45,334,926,BTC,2010-12-07
144,0.2388,1152842.82,285,687,BTC,2010-12-08
145,0.192105,929557.674,263,632,BTC,2010-12-09
146,0.20385,987887.6775,226,491,BTC,2010-12-10
147,0.228,1106917.2,375,823,BTC,2010-12-11
148,0.22,1069959.0,472,1026,BTC,2010-12-12
149,0.22990000000000002,1119727.95,505,1539,BTC,2010-12-13
150,0.24669000000000002,1203625.179,482,966,BTC,2010-12-14
151,0.24,1173324.0,446,906,BTC,2010-12-15
152,0.24996000000000002,1224179.0999999999,358,781,BTC,2010-12-16
153,0.24,1177392.0,296,634,BTC,2010-12-17
154,0.241,1184237.8499999999,338,701,BTC,2010-12-18
155,0.2401,1182024.305,367,909,BTC,2010-12-19
156,0.267,1316577.0,773,1304,BTC,2010-12-20
157,0.24,1185792.0,434,900,BTC,2010-12-21
158,0.25,1237162.5,502,1057,BTC,2010-12-22
159,0.24875250000000002,1232792.51475,374,784,BTC,2010-12-23
160,0.248,1230898.4,383,707,BTC,2010-12-24
161,0.2499,1242427.83,466,915,BTC,2010-12-25
162,0.265,1319421.75,439,885,BTC,2010-12-26
163,0.265,1321621.25,360,985,BTC,2010-12-27
164,0.281,1403791.7000000002,492,868,BTC,2010-12-28
165,0.2998,1500184.21,348,830,BTC,2010-12-29
166,0.30000000000000004,1503720.0,424,926,BTC,2010-12-30
167,0.30000000000000004,1506150.0,393,741,BTC,2010-12-31
168,0.30000000000000004,1508865.0,478,903,BTC,2011-01-01
169,0.29997,1511338.851,394,883,BTC,2011-01-02
170,0.295,1488599.5,972,1246,BTC,2011-01-03
171,0.29895000000000005,1510639.1925,838,939,BTC,2011-01-04
172,0.29892,1512789.2820000001,1156,1390,BTC,2011-01-05
173,0.298,1510234.2,553,1021,BTC,2011-01-06
174,0.32,1624352.0,856,1096,BTC,2011-01-07
175,0.3229,1641817.34,1266,1313,BTC,2011-01-08
176,0.322999999999999,1644958.2499999998,1060,1230,BTC,2011-01-09
177,0.32659000000000005,1665886.6014999999,1150,1281,BTC,2011-01-10
178,0.32659000000000005,1668678.946,1190,1395,BTC,2011-01-11
179,0.31880000000000003,1631554.64,995,1104,BTC,2011-01-12
180,0.3176,1628398.72,1078,1521,BTC,2011-01-13
181,0.4,2054500.0,1081,1436,BTC,2011-01-14
182,0.386,1985622.6,805,1273,BTC,2011-01-15
183,0.38679,1993051.512,757,1374,BTC,2011-01-16
184,0.34950000000000003,1804066.575,649,1177,BTC,2011-01-17
185,0.31299000000000005,1617814.011,677,1280,BTC,2011-01-18
186,0.31299000000000005,1620458.7765,748,1388,BTC,2011-01-19
187,0.39,2022774.0,738,1280,BTC,2011-01-20
188,0.419905,2181553.4417499998,992,1807,BTC,2011-01-21
189,0.44399000000000005,2310346.364,1257,2035,BTC,2011-01-22
190,0.4424,2305833.04,911,1770,BTC,2011-01-23
191,0.4199,2192507.85,1131,1878,BTC,2011-01-24
192,0.41000000000000003,2144013.0,733,1296,BTC,2011-01-25
193,0.41367000000000004,2166927.5609999998,825,1419,BTC,2011-01-26
194,0.4212,2209741.56,681,1502,BTC,2011-01-27
195,0.446,2343373.2,923,1550,BTC,2011-01-28
196,0.439,2310127.75,1186,1928,BTC,2011-01-29
197,0.47985000000000005,2528833.4925,2436,3057,BTC,2011-01-30
198,0.5501,2903730.355,1223,2075,BTC,2011-01-31
199,0.7077300000000001,3741591.5774999997,849,1766,BTC,2011-02-01
200,0.716,3790969.4,738,1339,BTC,2011-02-02
201,0.6963900000000001,3692712.4335,629,1113,BTC,2011-02-03
202,0.810999999999999,4308315.85,760,1332,BTC,2011-02-04
203,0.9073500000000001,4828281.555,653,1353,BTC,2011-02-05
204,0.8968,4780078.5200000005,732,1232,BTC,2011-02-06
205,0.89,4752867.0,689,1209,BTC,2011-02-07
206,0.918,4910106.600000001,678,1262,BTC,2011-02-08
207,1.084495,5811049.5585,1035,1916,BTC,2011-02-09
208,0.9751549999999991,5234241.977999999,1848,3381,BTC,2011-02-10
209,1.070004999999999,5753309.8845,2169,4145,BTC,2011-02-11
210,1.0799,5817097.33,1716,3133,BTC,2011-02-12
211,1.05,5666430.0,1624,3082,BTC,2011-02-13
212,1.075336666666666,5813700.154666668,1810,3940,BTC,2011-02-14
213,1.05,5688532.5,1999,3215,BTC,2011-02-15
214,1.028624,5584656.852,1858,2775,BTC,2011-02-16
215,1.04,5658432.0,2019,3301,BTC,2011-02-17
216,0.8989,4900263.46,1844,3436,BTC,2011-02-18
217,0.94898,5180908.8610000005,1422,2737,BTC,2011-02-19
218,0.85,4648947.5,1741,3011,BTC,2011-02-20
219,0.8345,4572267.225000001,1776,3124,BTC,2011-02-21
220,0.8702300000000001,4777214.608,1985,3604,BTC,2011-02-22
221,0.9,4951575.0,2020,3601,BTC,2011-02-23
222,0.9937149999999999,5477456.4515,1902,3505,BTC,2011-02-24
223,0.9111,5032324.1850000005,1835,3234,BTC,2011-02-25
224,0.9580000000000001,5304589.7,1676,3363,BTC,2011-02-26
225,0.89,4938921.5,2025,3448,BTC,2011-02-27
226,0.8701000000000001,4835015.185,1570,2896,BTC,2011-02-28
227,0.92022,5119505.937,2599,5066,BTC,2011-03-01
228,0.9399000000000001,5236887.825,1841,3576,BTC,2011-03-02
229,0.9390900000000001,5241108.2445,3018,4737,BTC,2011-03-03
230,0.9012,5039600.52,1761,3105,BTC,2011-03-04
231,0.9103,5103096.285,1771,3424,BTC,2011-03-05
232,0.886629999999999,4982550.279499999,1757,3139,BTC,2011-03-06
233,0.88502,4982839.604,1715,3254,BTC,2011-03-07
234,0.869989999999999,4906352.104499999,2253,3698,BTC,2011-03-08
235,0.8644900000000001,4882250.4995,1674,3237,BTC,2011-03-09
236,0.9329000000000001,5273730.345,1551,2802,BTC,2011-03-10
237,0.88,4980404.0,1754,2922,BTC,2011-03-11
238,0.918,5201892.9,2816,3098,BTC,2011-03-12
239,0.8924900000000001,5062560.276,2594,2776,BTC,2011-03-13
240,0.8949,5081242.2,2531,2788,BTC,2011-03-14
241,0.8711200000000001,4951097.632,2742,3187,BTC,2011-03-15
242,0.859989999999999,4893687.096,3047,3034,BTC,2011-03-16
243,0.82542,4702789.1790000005,3226,3090,BTC,2011-03-17
244,0.8164800000000001,4656752.856,2251,2974,BTC,2011-03-18
245,0.765,4367538.0,3074,3061,BTC,2011-03-19
246,0.7410800000000001,4236050.334000001,3939,4319,BTC,2011-03-20
247,0.75897,4343926.8465,5707,4514,BTC,2011-03-21
248,0.8090100000000001,4635141.894,2119,3743,BTC,2011-03-22
249,0.8497100000000001,4874998.697500001,4413,6710,BTC,2011-03-23
250,0.8668799999999991,4980095.567999999,2012,4254,BTC,2011-03-24
251,0.8837700000000001,5084770.695,1826,4019,BTC,2011-03-25
252,0.8552000000000001,4926294.08,3197,4709,BTC,2011-03-26
