,Date,Price,MarketCap,ActiveAddress,RiskFree,Asset,Return,week2_return,Npast52_return,GrowthRate,ExcessReturn,MKT,SMB,VAL,MOM,NET
0,2021-05-10,46406.33154419618,868351795380.1332,6062366.0,0.0002,BTC,-0.20289463187773354,0.18716821983271198,5.020517599795663,-0.08838894614741477,-0.20309463187773355,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
1,2021-05-10,3582.3280545424686,415205178117.81287,3482956.0,0.0002,ETH,-0.08901302485706726,0.6995926294851355,17.98296733994496,-0.01853878194325098,-0.08921302485706727,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
2,2021-05-10,296.4937808985344,20063741565.748344,1530001.0,0.0002,LTC,-0.23129284987905657,0.7229333204083785,7.838154958268336,0.06179123265281383,-0.23149284987905658,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
3,2021-05-10,525.2967874784562,6648980592.463545,10036.0,0.0002,AAVE,0.14366450560974625,0.3243843405071099,,0.03014287074366706,0.14346450560974625,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
4,2021-05-10,0.18966513267348,18692315.41687662,187.0,0.0002,ABT,-0.1714713880524724,0.17515167587848035,1.6740146384165075,-0.08701137698962924,-0.1716713880524724,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
5,2021-05-10,0.85479973528963,181414820.61964777,1376.0,0.0002,AMPL,-0.2818566115283353,0.030588546307536768,0.05510981473667615,-0.576090625138928,-0.2820566115283353,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
6,2021-05-10,7.69554724247964,152408477.0163851,160.0,0.0002,ANT,-0.24444660778420266,0.3041049924185558,8.116113699327652,-0.7055697005585024,-0.24464660778420266,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
7,2021-05-10,26.17073944725987,229564648.1467341,1495.0,0.0002,BADGER,-0.2563461294361214,0.41465823861374845,,-0.5041141891780043,-0.2565461294361214,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
8,2021-05-10,54.1223650117326,375816555.9617842,2459.0,0.0002,BAL,-0.18258281872044743,0.38393197389887973,,-0.4265241654758478,-0.18278281872044744,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
9,2021-05-10,14.03458999310893,287625343.68856907,979.0,0.0002,BAND,-0.20493997524400612,0.3094612726568787,16.478557810184263,-0.4974578154479987,-0.20513997524400612,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
10,2021-05-10,1.13902817641167,1702455909.0471692,9589.0,0.0002,BAT,-0.19472197490851018,0.38413142220032076,5.906331174643207,-0.5122845652502832,-0.19492197490851018,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
11,2021-05-10,6.69127762430068,1272412656.401843,2364.0,0.0002,BNT,-0.1806223955305312,0.4173550392849643,28.020902952617252,-0.33780081946051954,-0.1808223955305312,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
12,2021-05-10,42.81289367598048,8275051576.164731,205.0,0.0002,BOND,-0.06236691908462012,0.11901347168493925,,-0.4295626596872246,-0.06256691908462013,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
13,2021-05-10,0.28974181965104,25709944.161645822,240.0,0.0002,BRD,-0.2780760858662751,0.4036415220441309,2.880087443800717,-0.7014459833746409,-0.27827608586627506,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
14,2021-05-10,0.99990881590353,7798112407.602056,10607.0,0.0002,BUSD,-4.638202053725655e-05,3.366063311554626e-05,-0.001609358915101703,-0.06027517994918874,-0.00024638202053725653,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
15,2021-05-10,0.68248303841163,139173807.32285717,320.0,0.0002,BZRX,-0.21594181885823072,0.5197561069612968,,-0.8663123620679141,-0.21614181885823072,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
16,2021-05-10,0.05260699191063,291727523.7523711,829.0,0.0002,CELR,-0.05141826138585276,0.2777758287309868,20.335047156682716,-0.3706896669446884,-0.05161826138585276,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
17,2021-05-10,1.06842950252407,1068429502.52407,677.0,0.0002,CHSB,-0.1699198473493401,0.22475050278083106,44.193185656096716,-0.5798775777025176,-0.1701198473493401,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
18,2021-05-10,683.886542784869,3484341598.005426,7006.0,0.0002,COMP,-0.11145494865718682,0.3955200324982542,,-0.434906574537715,-0.11165494865718682,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
19,2021-05-10,137.13073055922044,84524365.44063118,368.0,0.0002,CREAM,0.029782203029378434,0.4249547571439079,,-0.312507231930808,0.029582203029378435,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
20,2021-05-10,0.1550524393258,3917091897.665685,3617.0,0.0002,CRO,-0.1265856378181087,0.05422688311927935,1.6465004399361227,-0.3720115317346142,-0.1267856378181087,-0.14588141215370418,-0.18905319982402752,-0.08417539982100908,-0.04513168946046647,0.0
